8/6p1/5pk1/4p3/3pP1KP/PQ6/5P2/6r1 w - - 1 37|a1g1|Rg1+|g4f3
1r2k3/1ppq1p2/p1np1n1r/P1b1p1p1/8/2P1PP1b/1PQP4/RNB1KB2 w Q - 0 15|e6h3|Bxh3|f1h3
2r2rk1/6pp/p2bp3/1p3p2/1PpP1P2/P1n1PN1P/5KP1/R3R3 w - - 0 28|d5c3|Nxc3|a1c1
rn1qkbr1/pb1p1p1p/1p2pp2/8/3QN3/2P5/PP2PPPP/RN2KB1R w KQq - 2 9|c8b7|Bb7|e4f6
2r4r/5kpp/p1n2p2/1pBbpN2/8/2P5/P2R1PPP/4R1K1 b - - 1 24|d4f5|Nf5|f7g6
r1bqkbnr/pp2pppp/2np4/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4|d2d4|d4|c8g4
rnbqkbnr/p1p1pppp/1p6/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3|b7b6|b6|c2c4
r1bq1rk1/ppp2ppp/2n1pn2/8/2BP4/B1P1PN2/P1Q2PPP/R4RK1 b - - 2 10|c1a3|Ba3|f8e8
8/2r1rk2/4p3/4Rp2/R2P1KpP/P1P3P1/1P6/8 w - - 1 47|c8c7|Rcc7|a4b4
6R1/1p1kp2r/p2ppb2/P1p4r/4PPRp/2PP3Q/1P3B1K/8 w - - 13 32|h8h7|R8h7|f2e3
rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2|c2c4|c4|e7e6
rnbq1rk1/3p2b1/2p1pnpp/pp6/3P3P/1BN2Q2/PPPB2P1/2KR2NR w - - 0 13|a7a5|a5|a2a3
r1b1k2r/pp3ppp/1q6/3np3/2P5/3P3P/2QN1PP1/R3KB1R w KQkq - 0 15|f6d5|Nxd5|c4d5
r3n1k1/3p1q1p/2b1p1p1/1p6/p4r2/P1N1QN2/BPP2PPP/3R1RK1 b - - 6 23|d4e3|Qe3|e8g7
