r2qk2r/p4pp1/2p1bn1p/n1b5/B3p3/5P1N/PPPPQ1PP/RNB1K2R b KQkq - 2 13|g1h3|Nh3|e6h3
1r2b1k1/5ppp/1rp1p3/3pP3/Pb1P1P2/1PR1QNP1/6KP/R7 w - - 3 31|e7b4|Bb4|c3d3
r2q1rk1/ppp2ppp/3pbn2/2b1p3/2PnP3/2NP2PP/PP2NPB1/R1BQK2R w KQ - 3 9|c6d4|Nd4|e1g1
r2q1rk1/3b1pbp/p1pppnp1/6B1/2B1P3/2P2N2/PPQ2PPP/R4RK1 b - - 5 13|c1g5|Bg5|d8c7
r2r3k/pp4pp/3qQn2/8/2P5/7P/P5P1/4RR1K w - - 3 27|b4d6|Qd6|e6f7
r1bqkbnr/pp3ppp/2npp3/2p5/4P3/3P1N2/PPP1BPPP/RNBQ1RK1 b kq - 0 5|d2d3|d3|f8e7
r4rk1/ppp3pn/2npp2p/4p3/1PP1P1P1/B2Q1P1P/P1KP4/RN4q1 b - - 1 18|d1c2|Kc2|c6d4
rn1q2nr/pp4k1/2p1p1pp/3pP3/3P1bP1/5P1Q/PPN4P/R3KBR1 b Q - 0 14|a3c2|Nxc2|d8g5
rnb1kbnr/pppp1p2/4pq2/7p/2B1PQp1/3P4/PPP2PPP/RNB1K1NR w KQkq - 2 6|d8f6|Qf6|f4c7
Qn2k2r/4bppp/p3p3/3pq3/8/3PB3/P1PNKPPP/1R5R b k - 4 17|g5e3|Be3|e8g8
7k/p5pp/P1p5/3n4/1b2B3/4Pp1P/5P2/5K2 b - - 0 41|a5a6|a6|c6c5
r2qk2r/1b1nbppp/p3p3/1p1nP3/2p5/2PB1NB1/PP1NQPPP/R3K2R w KQkq - 0 13|c5c4|c4|d3c2
r1bq1rk1/3nbppp/p3pn2/1p1pN3/2pP1P2/2P1P2P/PPBN2P1/R1BQ1RK1 b - - 2 11|f3e5|Ne5|d7e5
r1b2rk1/1pq1pp1p/p5p1/2n5/5P2/2PBB3/P1PQ2PP/R4R1K b - - 1 15|d1d2|Qd2|b7b5
